"Curve","Ci","Photo","Tleaf","PARi","adult"
"15_5_4",283.1462831,19.13257467,24.56839371,1799.804077,1
"15_5_4",48.83489488,0.000641638,24.51845169,1798.865356,1
"15_5_4",80.39241222,3.064856203,24.67001915,1799.493286,1
"15_5_4",110.7132591,6.166434511,24.63583755,1800.588379,1
"15_5_4",161.6338719,10.97471868,24.77216148,1798.927124,1
"15_5_4",228.0598721,16.18214255,24.94222832,1799.94043,1
"15_5_4",279.3421296,19.1928415,24.91474915,1800.12915,1
"15_5_4",495.0539312,23.95643981,24.84137726,1800.935913,1
"15_5_4",731.2363603,25.35451702,24.85616875,1799.740112,1
"15_5_4",1019.296297,26.18564414,24.89962959,1799.834229,1
"15_5_4",1305.743579,26.96561597,24.95549583,1799.442505,1
"15_5_4",1398.949586,27.84348966,25.2569809,1800.60144,1
"15_5_4",1587.474176,28.5629319,25.3305645,1799.94397,1
"15_5_4",279.5841801,18.29469089,25.40459061,1800.599854,1
"20_6_4",238.0501162,18.63505562,24.91727829,1801.191284,0
"20_6_4",50.51559663,-0.180315809,24.7301178,1800.716309,0
"20_6_4",74.3075857,2.861219009,24.74123383,1799.756226,0
"20_6_4",100.0802338,5.813636055,24.83874512,1800.428833,0
"20_6_4",144.5777504,10.26983188,24.9947567,1801.186646,0
"20_6_4",203.7516093,15.38577021,25.17257118,1800.209839,0
"20_6_4",247.9751005,18.95087151,25.13823318,1800.866333,0
"20_6_4",442.1828226,25.2406401,25.08430672,1798.732666,0
"20_6_4",662.3727164,27.56249766,25.07608795,1801.006226,0
"20_6_4",935.4275626,28.80881231,25.04064941,1799.714966,0
"20_6_4",1211.845203,28.95296029,24.93470955,1799.569336,0
"20_6_4",1294.93836,29.36825106,24.98941994,1800.468384,0
"20_6_4",1478.138399,29.34292126,24.97073746,1798.887329,0
"25_6_7",227.2267137,20.40212532,21.72827721,1799.767334,0
"25_6_7",48.76920912,0.093661637,21.65854263,1800.311401,0
"25_6_7",71.25630418,3.405748201,21.63571739,1799.593628,0
"25_6_7",97.3129616,6.628385178,21.6734333,1798.732788,0
"25_6_7",140.6789196,11.86356271,21.64377403,1798.901123,0
"25_6_7",199.5153051,17.67296076,21.62507057,1799.795044,0
"25_6_7",248.4269963,21.37212508,21.62086678,1799.590088,0
"25_6_7",453.0468644,28.20999583,21.6965313,1800.011108,0
"25_6_7",681.0211288,31.02700083,21.74232864,1799.364868,0
"25_6_7",964.040272,32.43199801,21.73529816,1800.494385,0
"25_6_7",1248.383134,33.29516384,21.71815872,1800.055054,0
"25_6_7",1341.104017,33.62391724,21.71523857,1800.196777,0
"25_6_7",1533.925214,33.73825002,21.67612457,1799.807739,0
"25_6_7",252.6671212,20.49512779,24.32422638,1801.248535,0
"1000_7_2",231.8626174,16.86116602,25.29460335,1799.733887,1
"1000_7_2",51.7777059,-0.271011774,25.2144165,1799.319092,1
"1000_7_2",72.94125172,2.502602025,25.05516243,1800.267212,1
"1000_7_2",96.84983319,5.289051967,24.92747116,1800.69043,1
"1000_7_2",138.2163573,9.424372715,24.88741302,1800.103027,1
"1000_7_2",192.3563264,14.22033294,24.82927322,1801.341919,1
"1000_7_2",236.4831133,17.35703844,24.91076851,1799.807007,1
"1000_7_2",416.2657258,24.71760705,24.99740601,1798.740479,1
"1000_7_2",625.2555079,28.48532277,25.06537437,1801.258545,1
"1000_7_2",887.266713,30.51701185,25.12570953,1799.087158,1
"1000_7_2",1150.982325,31.93641823,25.18977547,1800.388306,1
"1000_7_2",1230.677112,32.58852313,25.09290886,1799.922974,1
"1000_7_2",1410.885604,32.55023294,24.99214935,1801.307861,1
"1000_7_2",232.4862357,15.6121528,24.56154633,1800.232422,1
"10_7_4",259.530355,18.01355388,24.61301041,1799.332764,1
"10_7_4",50.75693606,-0.136896923,24.48672676,1800.454102,1
"10_7_4",78.07504701,2.7761992,24.33475494,1800.292603,1
"10_7_4",108.7377184,5.946985628,24.21307945,1800.708984,1
"10_7_4",160.4070719,10.77186096,24.08030128,1800.772461,1
"10_7_4",227.2402078,16.15955411,23.95653152,1800.641235,1
"10_7_4",282.4725706,19.24033214,23.97936821,1800.916138,1
"10_7_4",501.9772327,24.28261459,24.0759182,1801.058716,1
"10_7_4",736.0255795,26.23035981,24.13854408,1799.180908,1
"10_7_4",1025.577968,26.75699007,24.05700302,1799.525146,1
"10_7_4",1313.979855,27.35369201,24.08282089,1798.906372,1
"10_7_4",1407.328019,27.60854282,24.19895744,1800.085327,1
"10_7_4",1595.850645,28.42044794,24.23394585,1799.784302,1
"10_7_4",283.7753339,18.75171524,24.28505516,1799.162354,1
"35_7_8",236.664705,14.66743817,25.18103218,1800.062012,0
"35_7_8",50.66568765,-0.143337061,24.92762375,1800.252441,0
"35_7_8",74.95090227,2.216105195,24.82657433,1800.810059,0
"35_7_8",101.92826,4.525099541,24.96522903,1799.381958,0
"35_7_8",147.3241554,8.164198425,25.05160522,1799.309814,0
"35_7_8",208.0853794,12.28284933,24.99740219,1799.916992,0
